Location,2008__White,2008__Black,2008__Hispanic,2008__Asian/Native Hawaiian and Pacific Islander,2008__American Indian/Alaska Native,2008__Multiple Races,2008__Total,2009__White,2009__Black,2009__Hispanic,2009__Asian/Native Hawaiian and Pacific Islander,2009__American Indian/Alaska Native,2009__Multiple Races,2009__Total,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total
Kansas,0.114,0.223,0.316,0.174,0.232,0.14,0.14,0.112,0.232,0.351,0.131,0.222,0.17,0.15,0.129,0.212,0.307,0.163,0.243,0.16,0.16,0.115,0.18,0.298,0.181,0.233,0.19,0.15,0.118,0.163,0.293,0.135,0.244,0.19,0.15,0.115,0.199,0.282,0.144,0.161,0.16,0.14,0.095,0.177,0.27,0.088,0.268,0.1,0.12,0.076,0.178,0.247,0.135,0.2,0.1,0.11,0.073,0.177,0.208,0.074,0.099,0.09,0.1,0.0803,0.1218,0.1981,0.0931,0.1227,0.1079,0.1,0.08038,0.12645,0.22957,0.08391,0.10548,0.0514,0.10229,0.07877,0.1765,0.23897,0.08167,0.13564,0.1509,0.10948
Kentucky,0.152,0.201,0.359,0.106,N/A,0.12,0.16,0.156,0.197,0.385,0.137,0.196,0.17,0.17,0.165,0.198,0.396,0.209,N/A,0.18,0.18,0.157,0.228,0.336,0.108,N/A,0.12,0.17,0.15,0.192,0.303,0.18,N/A,0.16,0.16,0.158,0.185,0.363,0.162,0.378,0.19,0.17,0.091,0.133,0.306,0.116,N/A,0.08,0.1,0.063,0.061,0.255,0.129,N/A,0.07,0.07,0.054,0.056,0.215,0.075,N/A,N/A,0.06,0.0558,0.0716,0.2107,0.1205,N/A,0.0618,0.06,0.05758,0.06471,0.24428,0.07192,N/A,0.05503,0.06605,0.06936,0.0858,0.20209,0.07926,N/A,0.05178,0.07621
Louisiana,0.164,0.249,0.345,0.29,0.328,0.21,0.2,0.154,0.255,0.334,0.223,0.254,0.17,0.2,0.165,0.239,0.405,0.26,0.206,0.17,0.2,0.16,0.235,0.424,0.331,0.312,0.11,0.2,0.153,0.228,0.368,0.269,0.201,0.18,0.19,0.152,0.228,0.41,0.247,0.2,0.16,0.19,0.131,0.2,0.355,0.184,0.249,0.12,0.17,0.113,0.162,0.294,0.132,0.218,0.13,0.14,0.094,0.126,0.331,0.121,0.194,0.1,0.12,0.0788,0.0947,0.2791,0.0991,0.2002,0.0944,0.1,0.07749,0.08462,0.29373,0.1147,0.12757,0.0783,0.09267,0.08657,0.09883,0.29075,0.19866,N/A,0.0989,0.10449
Maine,0.125,N/A,N/A,N/A,N/A,0.12,0.13,0.12,N/A,N/A,N/A,N/A,0.22,0.12,0.128,N/A,0.14,N/A,N/A,N/A,0.13,0.134,N/A,0.156,N/A,N/A,N/A,0.13,0.123,N/A,N/A,N/A,N/A,N/A,0.12,0.131,N/A,0.248,N/A,N/A,0.13,0.13,0.121,N/A,0.133,N/A,N/A,0.12,0.12,0.103,N/A,0.17,N/A,0.252,0.1,0.11,0.096,N/A,0.166,N/A,N/A,N/A,0.1,0.0956,N/A,N/A,N/A,0.1675,N/A,0.1,0.09527,N/A,N/A,N/A,N/A,0.12194,0.09883,0.09784,0.10477,0.10317,N/A,N/A,0.20924,0.10224
Maryland,0.084,0.143,0.352,0.138,0.141,0.11,0.12,0.086,0.138,0.339,0.153,N/A,0.1,0.13,0.081,0.139,0.357,0.146,N/A,0.1,0.13,0.076,0.122,0.314,0.131,N/A,0.1,0.12,0.073,0.117,0.346,0.129,N/A,0.08,0.12,0.074,0.117,0.299,0.161,N/A,0.08,0.12,0.055,0.085,0.278,0.087,N/A,0.06,0.09,0.04,0.079,0.239,0.078,N/A,0.06,0.08,0.043,0.064,0.222,0.056,N/A,0.05,0.07,0.0403,0.064,0.2386,0.0553,N/A,0.035,0.07,0.0346,0.07213,0.22071,0.05104,N/A,0.0357,0.06895,0.03803,0.06175,0.21364,0.06563,N/A,0.05445,0.06865
Massachusetts,0.039,0.065,0.089,0.044,N/A,0.1,0.05,0.04,0.065,0.105,0.061,N/A,0.07,0.05,0.04,0.076,0.103,0.039,N/A,0.09,0.05,0.037,0.081,0.098,0.047,N/A,0.07,0.05,0.037,0.08,0.079,0.034,N/A,0.07,0.04,0.035,0.074,0.084,0.036,N/A,0.06,0.04,0.031,0.075,0.072,0.032,N/A,0.05,0.04,0.025,0.054,0.057,0.041,N/A,0.03,0.03,0.023,0.044,0.051,0.031,N/A,0.03,0.03,0.0242,0.0519,0.0553,0.0354,N/A,0.0549,0.03,0.0255,0.04561,0.05441,0.02936,N/A,0.04214,0.032,0.03,0.05549,0.05776,0.0277,N/A,0.03507,0.03593
Michigan,0.116,0.178,0.25,0.124,0.173,0.13,0.13,0.13,0.175,0.248,0.113,0.23,0.14,0.14,0.133,0.173,0.236,0.125,0.158,0.14,0.14,0.124,0.184,0.207,0.151,0.205,0.11,0.14,0.123,0.175,0.2,0.117,0.242,0.14,0.13,0.114,0.185,0.201,0.12,0.232,0.12,0.13,0.088,0.126,0.164,0.116,0.172,0.09,0.1,0.063,0.086,0.143,0.078,0.083,0.05,0.07,0.056,0.073,0.128,0.074,0.11,0.05,0.06,0.054,0.0721,0.1236,0.0442,0.1538,0.0584,0.06,0.05974,0.07161,0.11715,0.04244,0.12004,0.05531,0.06435,0.06381,0.07062,0.13157,0.05386,0.15677,0.07292,0.06925
Minnesota,0.081,0.142,0.321,0.083,0.311,0.09,0.1,0.084,0.149,0.316,0.106,0.257,0.15,0.1,0.082,0.202,0.255,0.109,0.244,0.15,0.1,0.079,0.159,0.292,0.125,0.236,0.12,0.1,0.075,0.137,0.313,0.107,0.236,0.11,0.1,0.073,0.17,0.286,0.124,0.297,0.08,0.1,0.05,0.11,0.263,0.066,0.212,0.05,0.07,0.035,0.073,0.215,0.068,0.197,0.06,0.05,0.035,0.072,0.188,0.038,0.204,0.06,0.05,0.0384,0.0688,0.176,0.0493,0.2198,0.0779,0.05,0.03656,0.05899,0.17588,0.06527,0.21953,0.05517,0.0508,0.04343,0.10548,0.15016,0.05899,0.13859,0.04966,0.05679
Mississippi,0.171,0.229,0.524,0.315,0.499,0.21,0.2,0.176,0.22,0.443,0.243,0.412,0.19,0.2,0.173,0.237,0.499,0.253,0.31,0.17,0.21,0.171,0.226,0.44,0.374,0.283,0.12,0.2,0.169,0.222,0.348,0.341,0.425,0.15,0.2,0.167,0.221,0.386,0.293,0.545,0.19,0.2,0.15,0.181,0.354,0.204,0.276,0.12,0.17,0.134,0.146,0.355,0.18,0.209,0.15,0.15,0.119,0.15,0.279,0.107,0.229,0.19,0.14,0.129,0.1498,0.2792,0.2108,0.2709,0.0719,0.14,0.12705,0.15763,0.29786,0.17927,0.14859,0.14008,0.14547,0.13968,0.15392,0.33926,0.22048,0.42455,0.13136,0.154
Missouri,0.136,0.187,0.322,0.164,0.208,0.15,0.15,0.139,0.211,0.306,0.134,0.175,0.16,0.15,0.137,0.217,0.304,0.141,0.225,0.15,0.15,0.142,0.207,0.327,0.162,0.22,0.18,0.16,0.147,0.214,0.327,0.159,0.3,0.11,0.16,0.137,0.214,0.286,0.165,0.191,0.14,0.15,0.121,0.19,0.26,0.153,0.211,0.12,0.14,0.106,0.141,0.212,0.122,0.118,0.07,0.11,0.096,0.123,0.23,0.109,0.193,0.09,0.11,0.0959,0.1442,0.1778,0.1504,0.2227,0.1084,0.11,0.10282,0.1336,0.21672,0.07286,0.23544,0.11624,0.11187,0.11445,0.13184,0.22867,0.08344,0.16394,0.10176,0.12114
