Location,2008__White,2008__Black,2008__Hispanic,2008__Asian/Native Hawaiian and Pacific Islander,2008__American Indian/Alaska Native,2008__Multiple Races,2008__Total,2009__White,2009__Black,2009__Hispanic,2009__Asian/Native Hawaiian and Pacific Islander,2009__American Indian/Alaska Native,2009__Multiple Races,2009__Total,2010__White,2010__Black,2010__Hispanic,2010__Asian/Native Hawaiian and Pacific Islander,2010__American Indian/Alaska Native,2010__Multiple Races,2010__Total,2011__White,2011__Black,2011__Hispanic,2011__Asian/Native Hawaiian and Pacific Islander,2011__American Indian/Alaska Native,2011__Multiple Races,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Asian/Native Hawaiian and Pacific Islander,2012__American Indian/Alaska Native,2012__Multiple Races,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Asian/Native Hawaiian and Pacific Islander,2013__American Indian/Alaska Native,2013__Multiple Races,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Asian/Native Hawaiian and Pacific Islander,2014__American Indian/Alaska Native,2014__Multiple Races,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Asian/Native Hawaiian and Pacific Islander,2015__American Indian/Alaska Native,2015__Multiple Races,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Asian/Native Hawaiian and Pacific Islander,2016__American Indian/Alaska Native,2016__Multiple Races,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Asian/Native Hawaiian and Pacific Islander,2017__American Indian/Alaska Native,2017__Multiple Races,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Asian/Native Hawaiian and Pacific Islander,2018__American Indian/Alaska Native,2018__Multiple Races,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Asian/Native Hawaiian and Pacific Islander,2019__American Indian/Alaska Native,2019__Multiple Races,2019__Total
Oklahoma,0.188,0.211,0.365,0.236,0.349,0.25,0.22,0.173,0.214,0.41,0.28,0.341,0.24,0.21,0.184,0.215,0.398,0.206,0.326,0.23,0.22,0.172,0.244,0.377,0.178,0.32,0.25,0.21,0.166,0.208,0.387,0.243,0.346,0.23,0.21,0.162,0.23,0.352,0.182,0.32,0.23,0.21,0.139,0.207,0.285,0.148,0.295,0.21,0.18,0.124,0.192,0.295,0.092,0.294,0.19,0.17,0.119,0.174,0.277,0.111,0.308,0.18,0.16,0.1226,0.1702,0.2575,0.152,0.3181,0.1916,0.16,0.12374,0.16925,0.24567,0.09419,0.29871,0.19054,0.16089,0.14171,0.17307,0.28096,0.1257,0.2849,0.18236,0.17626
Oregon,0.162,0.145,0.363,0.165,0.273,0.19,0.19,0.173,0.211,0.366,0.18,0.3,0.17,0.2,0.173,0.212,0.346,0.17,0.302,0.17,0.2,0.159,0.186,0.3,0.188,0.279,0.15,0.18,0.151,0.195,0.284,0.129,0.259,0.15,0.17,0.154,0.151,0.295,0.157,0.208,0.15,0.17,0.099,0.102,0.216,0.112,0.178,0.09,0.12,0.065,0.071,0.179,0.072,0.157,0.07,0.08,0.059,N/A,0.152,0.056,0.141,0.05,0.07,0.0652,0.066,0.1652,0.0594,0.148,0.0688,0.08,0.07023,0.07998,0.17049,0.06641,0.14475,0.07206,0.08642,0.07041,0.08984,0.17008,0.05221,0.14992,0.05969,0.08565
Pennsylvania,0.097,0.158,0.229,0.132,0.155,0.12,0.11,0.101,0.157,0.215,0.14,N/A,0.14,0.11,0.105,0.164,0.218,0.145,N/A,0.13,0.12,0.104,0.158,0.212,0.162,0.168,0.13,0.12,0.099,0.16,0.204,0.148,N/A,0.09,0.11,0.096,0.168,0.2,0.18,N/A,0.11,0.11,0.088,0.148,0.194,0.1,N/A,0.07,0.1,0.063,0.108,0.144,0.086,N/A,0.06,0.08,0.06,0.08,0.146,0.065,N/A,0.07,0.07,0.0582,0.0757,0.1264,0.0699,N/A,0.0558,0.07,0.06022,0.08131,0.12277,0.05679,N/A,0.04919,0.06761,0.06178,0.07248,0.12953,0.06976,N/A,0.06039,0.06932
Rhode Island,0.089,0.163,0.286,0.143,N/A,0.18,0.12,0.096,0.167,0.297,0.123,N/A,0.22,0.13,0.109,0.182,0.29,0.179,N/A,0.06,0.14,0.104,0.167,0.221,0.148,N/A,0.15,0.13,0.099,0.188,0.269,0.206,N/A,0.11,0.13,0.1,0.187,0.313,0.152,N/A,0.11,0.14,0.057,0.131,0.171,0.141,N/A,0.09,0.08,0.04,0.089,0.14,N/A,N/A,N/A,0.06,0.034,0.063,0.111,N/A,N/A,N/A,0.05,0.0315,0.0774,0.1208,N/A,N/A,0.0905,0.05,0.03669,N/A,0.09381,N/A,N/A,N/A,0.04792,0.03375,0.06134,0.10214,N/A,N/A,N/A,0.05055
South Carolina,0.158,0.227,0.487,0.205,0.262,0.29,0.2,0.157,0.224,0.463,0.249,0.233,0.19,0.19,0.167,0.231,0.478,0.247,0.254,0.16,0.2,0.162,0.217,0.425,0.268,0.202,0.25,0.2,0.171,0.204,0.409,0.213,0.314,0.13,0.19,0.156,0.201,0.412,0.233,0.254,0.16,0.19,0.136,0.171,0.375,0.189,0.133,0.13,0.16,0.11,0.131,0.316,0.139,0.115,0.12,0.13,0.1,0.116,0.315,0.125,N/A,0.09,0.12,0.1122,0.1459,0.3061,0.1302,0.1871,0.1065,0.13,0.10649,0.13257,0.2835,0.1358,N/A,0.1342,0.12714,0.1111,0.1342,0.32493,0.13262,N/A,0.08675,0.13147
South Dakota,0.099,N/A,0.211,N/A,0.377,0.32,0.13,0.125,N/A,0.266,N/A,0.417,0.3,0.16,0.098,N/A,0.132,N/A,0.442,0.25,0.14,0.101,N/A,0.328,N/A,0.346,N/A,0.14,0.097,N/A,0.26,N/A,0.311,0.16,0.12,0.104,N/A,0.356,N/A,0.431,0.22,0.15,0.078,N/A,0.215,N/A,0.43,0.17,0.12,0.086,N/A,0.278,N/A,0.396,0.28,0.13,0.066,0.182,0.165,N/A,0.336,N/A,0.1,0.0758,N/A,0.1756,N/A,0.3606,N/A,0.11,0.07054,N/A,0.20044,N/A,0.3845,0.13149,0.11077,0.08549,N/A,0.20596,N/A,0.31217,N/A,0.11508
Tennessee,0.135,0.179,0.458,0.161,0.337,0.15,0.16,0.142,0.188,0.43,0.219,0.181,0.12,0.16,0.143,0.184,0.421,0.181,0.32,0.18,0.17,0.148,0.19,0.441,0.161,0.217,0.19,0.17,0.142,0.166,0.4,0.213,0.34,0.15,0.16,0.141,0.17,0.419,0.216,0.316,0.12,0.16,0.121,0.142,0.363,0.181,0.212,0.12,0.14,0.099,0.137,0.345,0.111,N/A,0.1,0.12,0.09,0.112,0.326,0.098,N/A,0.08,0.11,0.0948,0.1177,0.2997,0.1086,N/A,0.073,0.11,0.10206,0.13795,0.29604,0.11549,0.14796,0.09532,0.12086,0.09952,0.12304,0.36533,0.08817,N/A,0.10447,0.12132
Texas,0.162,0.238,0.4,0.219,0.274,0.2,0.26,0.164,0.237,0.394,0.216,0.272,0.17,0.26,0.165,0.234,0.386,0.213,0.276,0.19,0.26,0.159,0.222,0.371,0.24,0.198,0.17,0.26,0.159,0.215,0.36,0.214,0.213,0.18,0.25,0.153,0.21,0.358,0.198,0.18,0.17,0.25,0.13,0.169,0.318,0.15,0.154,0.13,0.21,0.112,0.159,0.287,0.119,0.183,0.12,0.19,0.113,0.151,0.28,0.114,0.191,0.11,0.19,0.1197,0.1647,0.2872,0.1191,0.239,0.1167,0.2,0.1265,0.16351,0.29005,0.1179,0.15434,0.12207,0.19951,0.12982,0.164,0.30757,0.11913,0.20989,0.12234,0.20873
Utah,0.124,0.29,0.41,0.133,0.343,0.15,0.16,0.12,0.196,0.372,0.159,0.37,0.11,0.16,0.129,0.193,0.39,0.154,0.354,0.17,0.17,0.121,0.178,0.409,0.156,0.337,0.12,0.17,0.109,0.199,0.395,0.149,0.339,0.15,0.15,0.113,0.13,0.328,0.169,0.31,0.11,0.15,0.101,N/A,0.336,0.133,0.208,0.07,0.14,0.083,0.108,0.286,0.145,0.39,0.07,0.12,0.068,N/A,0.225,0.102,0.286,0.07,0.09,0.0717,0.0709,0.2547,0.0746,0.2325,0.063,0.1,0.06866,0.18176,0.23938,0.11732,0.28527,0.08828,0.10027,0.07653,0.26068,0.23182,0.11866,0.3671,0.09593,0.10761
Vermont,0.098,N/A,N/A,N/A,N/A,0.27,0.1,0.1,N/A,N/A,N/A,N/A,N/A,0.1,0.092,N/A,N/A,N/A,N/A,N/A,0.09,0.079,N/A,N/A,N/A,0.527,N/A,0.09,0.073,N/A,N/A,N/A,N/A,N/A,0.08,0.084,N/A,N/A,N/A,N/A,0.13,0.08,0.055,N/A,N/A,N/A,N/A,N/A,0.06,0.048,N/A,N/A,N/A,N/A,N/A,0.05,0.043,N/A,N/A,N/A,N/A,N/A,0.04,0.0524,N/A,N/A,N/A,N/A,N/A,0.05,0.0449,N/A,N/A,N/A,N/A,N/A,0.04825,0.05012,N/A,0.21473,N/A,N/A,N/A,0.05549
Virginia,0.1,0.169,0.333,0.15,0.176,0.11,0.13,0.099,0.169,0.339,0.162,N/A,0.11,0.13,0.106,0.18,0.347,0.167,0.212,0.12,0.15,0.102,0.177,0.332,0.161,0.205,0.13,0.14,0.106,0.176,0.299,0.18,0.212,0.12,0.14,0.103,0.173,0.328,0.15,0.196,0.11,0.14,0.09,0.155,0.278,0.138,0.226,0.09,0.12,0.082,0.131,0.23,0.097,0.118,0.09,0.11,0.076,0.106,0.268,0.086,N/A,0.1,0.1,0.0765,0.1224,0.2417,0.0758,N/A,0.0669,0.1,0.07392,0.11691,0.24742,0.07359,N/A,0.07796,0.10102,0.06682,0.09601,0.25784,0.07667,N/A,0.06643,0.09399
Washington,0.119,0.189,0.323,0.145,0.316,0.14,0.15,0.128,0.174,0.306,0.153,0.284,0.13,0.15,0.133,0.173,0.31,0.163,0.282,0.15,0.16,0.13,0.2,0.322,0.161,0.252,0.13,0.16,0.127,0.18,0.313,0.155,0.277,0.13,0.16,0.135,0.17,0.308,0.153,0.319,0.12,0.16,0.085,0.085,0.215,0.095,0.23,0.09,0.11,0.054,0.075,0.189,0.058,0.193,0.05,0.08,0.049,0.07,0.17,0.055,0.163,0.06,0.07,0.0514,0.0777,0.1744,0.0463,0.1359,0.0553,0.07,0.05292,0.10694,0.19138,0.05487,0.16953,0.04592,0.07635,0.05522,0.08987,0.18752,0.05879,0.13145,0.04639,0.07694
West Virginia,0.18,0.204,0.339,N/A,N/A,0.16,0.18,0.166,0.234,0.171,N/A,N/A,0.19,0.17,0.171,0.21,0.286,0.231,N/A,0.15,0.17,0.181,0.302,0.174,0.183,N/A,0.17,0.18,0.169,0.213,0.165,0.187,N/A,0.13,0.17,0.161,0.164,0.38,N/A,N/A,0.11,0.16,0.107,0.125,0.145,N/A,N/A,0.12,0.11,0.067,0.097,N/A,N/A,N/A,N/A,0.07,0.058,0.117,0.134,N/A,N/A,N/A,0.06,0.0701,0.0602,N/A,N/A,N/A,N/A,0.07,0.07389,0.11491,0.10699,N/A,N/A,N/A,0.07614,0.08148,0.10071,0.15731,N/A,N/A,N/A,0.08228
Wisconsin,0.085,0.15,0.273,0.134,0.264,0.11,0.1,0.087,0.151,0.286,0.114,0.188,0.13,0.1,0.09,0.146,0.289,0.133,0.336,0.13,0.11,0.087,0.155,0.259,0.146,0.251,0.11,0.11,0.087,0.157,0.266,0.129,0.23,0.11,0.11,0.087,0.146,0.246,0.132,0.201,0.12,0.1,0.068,0.123,0.232,0.127,0.273,0.07,0.09,0.052,0.084,0.207,0.067,0.19,0.07,0.07,0.048,0.084,0.164,0.071,0.192,0.06,0.06,0.0505,0.0734,0.1368,0.0799,0.2239,0.0447,0.06,0.0509,0.09052,0.16794,0.09283,0.25635,0.04961,0.06604,0.05124,0.08861,0.21775,0.07421,0.18548,0.06184,0.06934
Wyoming,0.152,N/A,0.226,N/A,0.38,0.2,0.16,0.153,N/A,0.353,N/A,0.424,N/A,0.18,0.153,N/A,0.275,N/A,0.364,N/A,0.17,0.161,N/A,0.289,N/A,0.26,N/A,0.18,0.164,N/A,0.297,N/A,0.398,0.21,0.18,0.133,N/A,0.205,N/A,0.482,N/A,0.15,0.13,N/A,0.212,N/A,0.365,N/A,0.14,0.104,N/A,0.22,N/A,0.396,N/A,0.12,0.116,N/A,0.181,N/A,0.409,N/A,0.13,0.1233,N/A,0.2877,N/A,0.3176,N/A,0.15,0.11398,N/A,0.17498,N/A,0.35312,N/A,0.12715,0.12543,N/A,0.23845,N/A,0.48929,N/A,0.14795
Puerto Rico,0.143,N/A,0.101,N/A,N/A,N/A,0.1,0.08,N/A,0.094,N/A,N/A,N/A,0.09,0.064,N/A,0.094,N/A,N/A,N/A,0.09,0.144,N/A,0.089,0.647,N/A,N/A,0.09,0.125,N/A,0.084,N/A,N/A,N/A,0.08,0.087,N/A,0.076,0.799,N/A,N/A,0.08,0.132,N/A,0.071,N/A,N/A,N/A,0.07,N/A,N/A,0.067,N/A,N/A,N/A,0.07,0.065,N/A,0.076,0.55,N/A,N/A,0.08,N/A,N/A,0.0829,N/A,N/A,N/A,0.08,0.15236,N/A,0.07799,N/A,N/A,N/A,0.07893,0.11216,N/A,0.09565,0.56409,N/A,N/A,0.09655
